RegionID,SizeRank,RegionName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
60,19,Wisconsin,"215,598.42","228,121.59","240,713.48","258,784.05","281,192.05","298,920.11","304,883.60","305,537.50","292,680.26","279,765.93","270,956.50","256,613.70","258,359.39","270,566.79","276,936.24","288,349.61","300,307.49","314,524.47","330,104.00","345,847.92","375,022.06","415,322.58","444,267.55","458,315.12"
10,20,Colorado,"339,560.31","370,936.71","381,035.07","384,960.41","396,230.85","411,094.85","419,049.54","420,623.05","404,805.06","394,573.21","385,155.23","375,017.40","396,804.84","427,872.97","453,681.88","498,280.47","532,572.75","565,344.04","598,966.33","622,401.30","671,429.23","796,998.44","853,563.98","846,017.55"
31,21,Minnesota,"248,799.12","279,987.99","303,883.63","328,800.28","353,760.34","374,956.22","376,190.26","363,792.80","330,511.80","310,214.14","298,911.82","276,579.58","292,273.50","316,595.60","326,907.25","341,536.17","354,845.28","372,350.42","388,750.53","400,910.23","429,794.25","481,191.03","501,965.04","504,034.46"
51,22,South Carolina,"224,611.91","232,982.36","237,940.46","246,890.03","263,255.74","291,212.10","318,323.31","318,959.94","303,832.39","282,827.81","272,120.82","257,946.82","263,818.62","275,567.26","284,292.75","299,282.01","309,261.60","320,869.19","331,673.17","341,374.51","368,607.81","436,887.35","492,341.93","504,129.68"
4,23,Alabama,"198,864.86","205,851.56","210,339.87","217,036.44","227,031.67","239,997.96","258,292.10","262,547.05","256,016.90","243,680.12","233,088.29","224,734.53","238,329.68","247,053.08","250,751.69","257,123.95","263,860.38","271,067.54","278,920.47","293,312.74","319,554.26","365,830.00","390,497.60","394,444.41"
25,24,Louisiana,"192,589.92","201,775.80","208,919.04","216,090.74","228,217.40","245,126.97","264,258.83","270,453.44","266,851.54","262,959.27","262,082.96","255,800.73","261,253.45","269,293.53","272,936.12","285,817.97","287,606.61","288,783.12","288,653.20","297,767.79","309,043.76","331,955.64","342,618.80","333,085.69"
24,25,Kentucky,"171,099.59","179,128.79","183,925.21","189,786.44","195,618.14","203,345.49","208,218.44","209,735.51","208,557.27","205,632.04","203,794.61","198,026.05","202,079.22","207,695.95","211,286.23","219,568.69","227,383.91","235,875.85","245,695.53","255,132.70","278,736.55","307,783.26","333,104.86","336,638.21"
46,26,Oregon,"265,687.46","276,644.09","289,387.53","308,142.88","339,258.98","402,353.97","452,728.19","460,439.62","421,773.81","381,722.80","358,422.11","333,067.97","345,217.51","379,449.74","403,279.12","445,723.64","485,813.43","511,086.42","529,800.73","542,079.94","591,503.72","694,140.73","720,930.47","719,290.98"
45,27,Oklahoma,"166,937.35","173,676.26","179,244.30","184,658.59","191,589.90","198,201.15","206,610.47","211,130.79","210,815.02","210,623.81","208,697.50","205,264.40","208,611.58","215,091.28","221,647.83","227,019.84","231,402.66","235,197.57","241,331.06","248,699.94","268,621.36","305,587.36","335,051.95","338,548.47"
11,28,Connecticut,"337,064.58","369,424.91","410,097.10","455,648.71","510,114.13","565,059.26","577,562.88","563,538.26","518,393.81","482,248.00","463,487.15","436,414.22","428,852.35","443,418.78","444,289.64","448,043.04","445,271.27","452,525.41","453,251.42","450,830.16","485,613.51","553,918.37","607,615.31","649,722.14"
55,30,Utah,"292,966.78","296,682.70","296,146.31","297,764.36","303,676.91","321,076.59","373,201.12","414,601.55","383,503.80","344,963.13","323,532.29","306,354.28","328,418.06","361,732.95","371,383.21","399,193.04","421,876.71","454,892.85","490,892.70","516,886.18","580,180.26","723,887.10","757,773.32","746,914.37"
19,31,Iowa,"189,884.10","197,139.47","204,151.70","212,596.76","220,289.73","229,613.25","234,989.26","237,452.13","235,459.74","232,047.32","230,496.06","227,004.96","232,087.83","241,235.76","246,178.00","256,629.11","264,022.54","271,569.84","278,633.39","289,635.56","306,307.90","332,958.04","363,495.57","368,703.55"
42,32,Nevada,"274,678.85","293,031.58","312,375.09","352,790.78","488,502.24","563,055.88","567,181.39","506,709.48","365,467.07","278,464.08","260,020.95","232,887.86","246,225.34","299,654.92","322,975.93","348,585.37","361,999.99","393,661.24","435,990.98","447,785.75","478,979.31","590,287.68","623,133.80","608,343.12"
6,33,Arkansas,"167,763.13","174,116.50","180,261.23","188,018.42","200,187.77","215,549.73","225,125.39","225,365.45","220,629.16","213,494.69","210,675.89","207,727.95","212,335.40","215,713.19","218,445.23","225,046.58","230,876.33","237,893.14","242,527.66","251,346.36","272,746.76","315,605.36","342,227.57","349,680.36"
34,34,Mississippi,"170,457.35","177,243.76","181,739.21","186,915.53","194,631.55","207,870.67","225,286.30","232,175.28","223,225.82","215,873.85","210,783.67","208,142.36","209,571.65","210,978.31","216,716.90","227,732.26","229,245.36","231,678.46","236,306.93","242,977.40","258,699.19","291,304.43","306,593.87","307,996.53"
23,35,Kansas,"185,584.82","195,092.97","199,764.62","204,578.61","215,520.02","222,249.65","229,588.90","235,399.99","234,478.46","233,467.90","228,927.06","222,028.88","230,662.81","238,920.01","245,151.70","257,235.52","264,623.88","273,477.61","285,792.44","296,145.52","320,300.33","356,928.19","389,087.63","399,536.12"
41,36,New Mexico,,,"235,116.65","244,833.82","260,465.42","287,827.29","324,664.84","333,952.67","317,841.43","303,116.67","286,475.39","275,771.86","278,229.18","283,070.67","287,353.50","294,634.63","298,873.75","309,820.92","320,092.31","337,972.30","372,148.48","422,170.71","455,508.18","467,135.22"
38,37,Nebraska,"203,921.80","203,030.76","209,796.23","219,137.74","228,800.69","236,952.59","242,845.65","240,669.71","232,301.12","234,929.59","231,213.38","229,323.73","235,582.53","246,233.17","253,234.14","266,564.91","275,278.16","287,980.89","299,954.60","312,057.29","337,152.71","373,682.53","407,498.63","416,506.37"
20,38,Idaho,"228,503.49","236,123.99","240,814.76","247,818.55","261,664.09","316,768.43","353,421.60","358,271.22","338,099.87","296,771.29","267,235.76","252,654.02","271,538.56","296,804.24","307,523.41","326,681.18","346,822.87","372,936.58","413,900.40","449,243.82","531,469.46","704,053.08","712,080.90","692,488.32"
